name	symbol_id	start_number
Head Movement Straight Floor Plane	04-01-005-01	0x30300
Head Movement Curves Wall Plane	04-01-006-01	0x30400
Head Movement Curves Floor Plane	04-01-007-01	0x30500
Head Movement Circles	04-01-008-01	0x30600
Face Direction Positions, Nose Forward Tilting	04-01-009-01	0x30700
Face Direction Positions, Nose Up or Down	04-01-010-01	0x30800
Face Direction Positions, Nose Up or Down Tilting	04-01-010-02	0x30900
Eyebrows Straight Up	04-02-001-01	0x30a00
Eyebrows Straight Neutral	04-02-001-02	0x30b00
Eyebrows Straight Down	04-02-001-03	0x30c00
Dreamy Eyebrows Neutral Down	04-02-002-01	0x30d00
Dreamy Eyebrows Down Neutral	04-02-002-02	0x30e00
Dreamy Eyebrows Up Neutral	04-02-002-03	0x30f00
Dreamy Eyebrows Neutral-Up	04-02-002-04	0x31000
Forehead Neutral	04-02-003-01	0x31100
Forehead Contact	04-02-003-02	0x31200
Forehead Wrinkled	04-02-003-03	0x31300
Eyes Open	04-02-004-01	0x31400
Eyes Squeezed	04-02-004-02	0x31500
Eyes Closed	04-02-004-03	0x31600
Eye Blink Single	04-02-004-04	0x31700
Eye Blinks Multiple	04-02-004-05	0x31800
Eyes Half Open	04-02-005-01	0x31900
Eyes Wide Open	04-02-005-02	0x31a00
Eyes Half Closed	04-02-005-03	0x31b00
Eyes Widening Movement	04-02-005-04	0x31c00
Eye Wink (Squeezed Eye Blink)	04-02-005-05	0x31d00
Eyelashes Up	04-02-006-01	0x31e00
Eyelashes Down	04-02-006-02	0x31f00
Eyelashes Fluttering	04-02-006-03	0x32000
Eyegaze Straight Wall Plane	04-02-007-01	0x32100
Eyegaze Straight Wall Double	04-02-007-02	0x32200
Eyegaze Straight Wall Alternate	04-02-007-03	0x32300
Eyegaze Straight Floor Plane	04-02-008-01	0x32400
Eyegaze Straight Floor Double	04-02-008-02	0x32500
Eyegaze Straight Floor Alternate	04-02-008-03	0x32600
Eyegaze Curved Wall Plane	04-02-009-01	0x32700
Eyegaze Curved Floor Plane	04-02-010-01	0x32800
Eyegaze Circles Wall Plane	04-02-011-01	0x32900
Cheeks Puffed	04-03-001-01	0x32a00
Cheeks Neutral	04-03-001-02	0x32b00
Cheeks Sucked	04-03-001-03	0x32c00
Tense Cheeks High	04-03-002-01	0x32d00
Tense Cheeks Middle	04-03-002-02	0x32e00
Tense Cheeks Low	04-03-002-03	0x32f00
Ears	04-03-003-01	0x33000
Nose Neutral	04-03-004-01	0x33100
Nose Contact	04-03-004-02	0x33200
Nose Wrinkles	04-03-004-03	0x33300
Nose Wiggles	04-03-004-04	0x33400
Air Blowing Out	04-03-005-01	0x33500
Air Sucking In	04-03-005-02	0x33600
Air Blow Small Rotations	04-03-006-01	0x33700
Air Suck Small Rotations	04-03-006-02	0x33800
Breath Exhale	04-03-007-01	0x33900
Breath Inhale	04-03-007-02	0x33a00
Mouth Closed Neutral	04-04-001-01	0x33b00
Mouth Closed Forward	04-04-001-02	0x33c00
Mouth Closed Contact	04-04-001-03	0x33d00
Mouth Smile	04-04-002-01	0x33e00
Mouth Smile Wrinkled	04-04-002-02	0x33f00
Mouth Smile Open	04-04-002-03	0x34000
Mouth Frown	04-04-003-01	0x34100
Mouth Frown Wrinkled	04-04-003-02	0x34200
Mouth Frown Open	04-04-003-03	0x34300
Mouth Open Circle	04-04-004-01	0x34400
Mouth Open Forward	04-04-004-02	0x34500
Mouth Open Wrinkled	04-04-004-03	0x34600
Mouth Open Oval	04-04-005-01	0x34700
Mouth Open Oval Wrinkled	04-04-005-02	0x34800
Mouth Open Oval Yawn	04-04-005-03	0x34900
Mouth Open Rectangle	04-04-006-01	0x34a00
Mouth Open Rectangle Wrinkled	04-04-006-02	0x34b00
Mouth Open Rectangle Yawn	04-04-006-03	0x34c00
Mouth Kiss	04-04-007-01	0x34d00
Mouth Kiss Forward	04-04-007-02	0x34e00
Mouth Kiss Wrinkled	04-04-007-03	0x34f00
Mouth Tense	04-04-008-01	0x35000
Mouth Tense Forward	04-04-008-02	0x35100
Mouth Tense Sucked	04-04-008-03	0x35200
Lips Pressed Together	04-04-009-01	0x35300
Lip Lower Over Upper	04-04-009-02	0x35400
Lip Upper Over Lower	04-04-009-03	0x35500
Mouth Corners	04-04-010-01	0x35600
Mouth Wrinkles Single	04-04-011-01	0x35700
Mouth Wrinkles Double	04-04-011-02	0x35800
Tongue Sticks Out Far	04-05-001-01	0x35900
Tongue Licks Lips	04-05-001-02	0x35a00
Tongue Tip Between Lips	04-05-001-03	0x35b00
Tongue Tip Touches Inside Mouth	04-05-001-04	0x35c00
Tongue Inside Mouth Relaxed	04-05-001-05	0x35d00
Tongue Moves Against Cheek	04-05-002-01	0x35e00
Tongue Center Sticks Out	04-05-003-01	0x35f00
Tongue Center Inside Mouth	04-05-004-01	0x36000
Teeth	04-05-005-01	0x36100
Teeth Movement	04-05-005-02	0x36200
Teeth on Tongue	04-05-006-01	0x36300
Teeth on Tongue Movement	04-05-006-02	0x36400
Teeth on Lips	04-05-007-01	0x36500
Teeth on Lips Movement	04-05-007-02	0x36600
Teeth Bite Lips	04-05-008-01	0x36700
Jaw Movement Wall Plane	04-05-009-01	0x36800
Jaw Movement Floor Plane	04-05-010-01	0x36900
Neck	04-05-011-01	0x36a00
Hair	04-05-012-01	0x36b00
Excitement	04-05-013-01	0x36c00
Shoulder Hip Spine	05-01-001-01	0x36d00
Shoulder Hip Positions	05-01-002-01	0x36e00
Shoulder Hip Move Wall Plane	05-01-003-01	0x36f00
Shoulder Hip Move Floor Plane	05-01-004-01	0x37000
Shoulder Tilts (from Waist)	05-01-005-01	0x37100
Torso Straight Stretch Wall	05-01-006-01	0x37200
Torso Curved Bend Wall	05-01-007-01	0x37300
Torso Twist Floor Plane	05-01-008-01	0x37400
Upper Body Tilts (from Hip Joints)	05-01-009-01	0x37500
Limb Combinations	05-02-001-01	0x37600
Limb Length 1	05-02-002-01	0x37700
Limb Length 2	05-02-002-02	0x37800
Limb Length 3	05-02-002-03	0x37900
Limb Length 4	05-02-002-04	0x37a00
Limb Length 5	05-02-003-01	0x37b00
Limb Length 6	05-02-003-02	0x37c00
Limb Length 7	05-02-003-03	0x37d00
Fingers	05-02-004-01	0x37e00
Location Space Wall Plane	06-01-001-01	0x37f00
Location Space Floor Plane	06-01-001-02	0x38000
Location Height	06-01-002-01	0x38100
Location Width	06-01-003-01	0x38200
Location Depth	06-01-004-01	0x38300
Location Head Neck	06-01-005-01	0x38400
Location Torso	06-01-006-01	0x38500
Location Limbs Digits	06-01-007-01	0x38600
Comma	07-01-001-01	0x38700
Period	07-01-001-02	0x38800
Semicolon	07-01-002-01	0x38900
Colon	07-01-002-02	0x38a00
Parentheses	07-01-003-01	0x38b00
