name	symbol_id	start_number
Oval, No Thumb	01-05-046-01	0x17900
Oval, Thumb Forward	01-05-047-01	0x17a00
Hinge Open	01-05-048-01	0x17b00
Hinge Open, Thumb Forward	01-05-049-01	0x17c00
Hinge	01-05-050-01	0x17d00
Hinge Small	01-05-051-01	0x17e00
Hinge Open, Thumb Side	01-05-052-01	0x17f00
Hinge, Thumb Side	01-05-053-01	0x18000
Hinge Open, No Thumb	01-05-054-01	0x18100
Hinge, No Thumb	01-05-055-01	0x18200
Hinge, Thumb Side Touches Index	01-05-056-01	0x18300
Hinge, Thumb Between Middle Ring	01-05-057-01	0x18400
Angle	01-05-058-01	0x18500
Index Middle Ring	01-06-001-01	0x18600
Index Middle Ring on Circle	01-06-002-01	0x18700
Index Middle Ring on Hinge	01-06-003-01	0x18800
Index Middle Ring on Angle	01-06-004-01	0x18900
Baby Hinge	01-06-005-01	0x18a00
Index Middle Ring, Bent	01-06-006-01	0x18b00
Index Middle Ring, Unit	01-06-007-01	0x18c00
Index Middle Ring, Unit Hinge	01-06-008-01	0x18d00
Baby Down	01-06-009-01	0x18e00
Baby Down, Ripple Straight	01-06-010-01	0x18f00
Baby Down, Ripple Curved	01-06-011-01	0x19000
Baby Down, Others Circle	01-06-012-01	0x19100
Baby Up	01-06-013-01	0x19200
Baby Up on Fist Thumb Under	01-06-014-01	0x19300
Baby Up on Circle	01-06-015-01	0x19400
Baby Up on Oval	01-06-016-01	0x19500
Baby Up on Angle	01-06-017-01	0x19600
Baby Raised Knuckle	01-06-018-01	0x19700
Baby Bent	01-06-019-01	0x19800
Baby Touches Thumb	01-06-020-01	0x19900
Baby Thumb	01-06-021-01	0x19a00
Baby Thumb on Hinge	01-06-022-01	0x19b00
Baby Index Thumb	01-06-023-01	0x19c00
Baby Index Thumb on Hinge	01-06-024-01	0x19d00
Baby Index Thumb, Index Thumb Angle Out	01-06-025-01	0x19e00
Baby Index Thumb, Index Thumb Angle	01-06-026-01	0x19f00
Baby Index	01-06-027-01	0x1a000
Baby Index on Circle	01-06-028-01	0x1a100
Baby Index on Hinge	01-06-029-01	0x1a200
Baby Index on Angle	01-06-030-01	0x1a300
Index Middle Baby	01-07-001-01	0x1a400
Index Middle Baby on Circle	01-07-002-01	0x1a500
Index Middle Baby on Hinge	01-07-003-01	0x1a600
Ring Hinge	01-07-004-01	0x1a700
Index Middle Baby on Angle	01-07-005-01	0x1a800
Index Middle Cross with Baby	01-07-006-01	0x1a900
Index Middle Cross with Baby on Circle	01-07-007-01	0x1aa00
Ring Down	01-07-008-01	0x1ab00
Ring Down, Index Thumb Hook, Middle Hinge	01-07-009-01	0x1ac00
Ring Down, Middle Thumb Angle, Index Cross	01-07-010-01	0x1ad00
Ring Up	01-07-011-01	0x1ae00
Ring Raised Knuckle	01-07-012-01	0x1af00
Ring Baby	01-07-013-01	0x1b000
Ring Baby on Circle	01-07-014-01	0x1b100
Ring Baby on Oval	01-07-015-01	0x1b200
Ring Baby on Angle	01-07-016-01	0x1b300
Ring Middle	01-07-017-01	0x1b400
Ring Middle Unit	01-07-018-01	0x1b500
Ring Middle Raised Knuckles	01-07-019-01	0x1b600
Ring Index	01-07-020-01	0x1b700
Ring Thumb	01-07-021-01	0x1b800
Ring Thumb Hook	01-07-022-01	0x1b900
Index Ring Baby	01-08-001-01	0x1ba00
Index Ring Baby on Circle	01-08-002-01	0x1bb00
Index Ring Baby on Curlicue	01-08-003-01	0x1bc00
Index Ring Baby on Hook Out	01-08-004-01	0x1bd00
Index Ring Baby on Hook In	01-08-005-01	0x1be00
Index Ring Baby on Hook Under	01-08-006-01	0x1bf00
Index Ring Baby on Cup	01-08-007-01	0x1c000
Index Ring Baby on Hinge	01-08-008-01	0x1c100
Index Ring Baby on Angle Out	01-08-009-01	0x1c200
Index Ring Baby on Angle	01-08-010-01	0x1c300
Middle Down	01-08-011-01	0x1c400
Middle Hinge	01-08-012-01	0x1c500
Middle Up	01-08-013-01	0x1c600
Middle Up on Circle	01-08-014-01	0x1c700
Middle Raised Knuckle	01-08-015-01	0x1c800
Middle Up, Thumb Side	01-08-016-01	0x1c900
Middle Thumb Hook	01-08-017-01	0x1ca00
Middle Thumb Baby	01-08-018-01	0x1cb00
Middle Baby	01-08-019-01	0x1cc00
Middle Ring Baby	01-09-001-01	0x1cd00
Middle Ring Baby on Circle	01-09-002-01	0x1ce00
Middle Ring Baby on Curlicue	01-09-003-01	0x1cf00
Middle Ring Baby on Cup	01-09-004-01	0x1d000
Middle Ring Baby on Hinge	01-09-005-01	0x1d100
Middle Ring Baby on Angle Out	01-09-006-01	0x1d200
